#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T18:45:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a279d1ddc26	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog,V/53A/names
#-nav=cat:V/53A&tab:{V/53A/catalog}&tab:{V/53A/names}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a279d1ddc26&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-ignore=HR_data=*&HR_data=HR_data&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=GLON&-out=GLAT&HIP_data=HIP_data&-out=Dist&-out=Vmag&-out=SpType&Simbad=Simbad&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/53A/catalog,V/53A/names
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog V/53A/names
#-out=HR
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=GLON
#-out=GLAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=Name
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	Const	RA2000	DE2000	ELON	ELAT	GLON	GLAT	Dist	Vmag	SpType
045.597917	-23.624444	 919	Eri	03 02 23.5	-23 37 28	 34.53	-38.91	213.54	-60.29	   88	 4.09	A4IV
046.293750	+38.840278	 921	Per	03 05 10.5	+38 50 25	 54.91	 20.57	149.60	-17.01	  326	 3.39	M4II
047.984583	+74.393611	 932	   	03 11 56.3	+74 23 37	 72.37	 53.53	132.11	 14.08	  163	 4.88	A2Vnn
047.042083	+40.955833	 936	Per	03 08 10.1	+40 57 21	 56.17	 22.43	148.98	-14.90	   93	 2.12	B8V
047.266667	+49.613333	 937	Per	03 09 04.0	+49 36 48	 59.27	 30.63	144.58	 -7.39	   34	 4.05	G0V
047.373750	+44.857500	 941	Per	03 09 29.7	+44 51 27	 57.69	 26.08	147.12	-11.43	  112	 3.81	K0III
047.822083	+39.611667	 947	Per	03 11 17.3	+39 36 42	 56.36	 20.97	150.23	-15.73	  326	 4.64	K1III
047.907083	+19.726667	 951	Ari	03 11 37.7	+19 43 36	 50.85	  1.82	162.60	-32.14	  171	 4.37	K2IIIv
048.017500	-28.987222	 963	For	03 12 04.2	-28 59 14	 34.61	-44.69	224.75	-59.04	   46	 3.85	F8V
048.725000	+21.044444	 972	Ari	03 14 54.0	+21 02 40	 51.94	  2.89	162.38	-30.62	  362	 4.89	A1V
048.957917	 -8.819722	 984	Eri	03 15 49.9	-08 49 11	 43.83	-25.92	191.58	-51.31	  120	 4.80	A5m
049.997083	+65.652500	 985	   	03 19 59.3	+65 39 09	 67.88	 45.26	137.46	  7.06	  616	 4.85	B2.5Ven
049.682083	+34.222500	 991	   	03 18 43.7	+34 13 21	 56.30	 15.38	154.63	-19.43	  577	 4.82	K2IIICN2Ba0.3
049.592083	-22.511389	 994	Eri	03 18 22.1	-22 30 41	 39.47	-39.13	213.26	-56.46	  271	 4.88	G6III
049.840000	 +3.370278	 996	Cet	03 19 21.6	+03 22 13	 48.33	-14.45	178.22	-43.08	   29	 4.84	G5Vv
050.084583	+29.048611	 999	   	03 20 20.3	+29 02 55	 55.24	 10.30	158.14	-23.46	  254	 4.47	K2II-III
050.360417	+43.329722	1002	Per	03 21 26.5	+43 19 47	 59.47	 24.00	149.81	-11.58	  155	 4.95	A3V
049.878750	-21.757778	1003	Eri	03 19 30.9	-21 45 28	 40.11	-38.51	212.09	-56.00	  271	 3.70	M3.5IIIaCa-1
049.981667	-43.069722	1008	   	03 19 55.6	-43 04 11	 27.22	-58.11	250.78	-56.11	   19	 4.27	G8III
051.080417	+49.861389	1017	Per	03 24 19.3	+49 51 41	 62.08	 30.13	146.57	 -5.86	  529	 1.79	F5Ib
051.202917	 +9.028889	1030	Tau	03 24 48.7	+09 01 44	 51.16	 -9.33	174.12	-38.16	  217	 3.60	G6IIIFe-1
052.012500	+49.062778	1034	   	03 28 03.0	+49 03 46	 62.49	 29.19	147.52	 -6.19	  442	 4.98	B5V
052.267083	+59.940278	1035	   	03 29 04.1	+59 56 25	 66.58	 39.53	141.50	  2.88	 3228	 4.22	B9Ia
051.792083	 +9.732778	1038	Tau	03 27 10.1	+09 43 58	 51.91	 -8.80	174.01	-37.25	  232	 3.75	B9Vn
052.478333	+58.878889	1040	   	03 29 54.8	+58 52 44	 66.29	 38.49	142.19	  2.06	 3228	 4.54	A0Iae
052.341667	+49.508889	1044	Per	03 29 22.0	+49 30 32	 62.87	 29.56	147.45	 -5.70	  436	 4.67	B3V
052.643333	+47.995278	1052	Per	03 30 34.4	+47 59 43	 62.61	 28.05	148.48	 -6.83	  362	 4.38	K3III
052.717917	+12.936667	1066	Tau	03 30 52.3	+12 56 12	 53.59	 -5.92	172.07	-34.32	  362	 4.10	K0II-IIIFe-0.5
052.654167	 -5.075278	1070	Eri	03 30 37.0	-05 04 31	 48.85	-23.34	189.96	-46.18	  407	 4.73	B9Vs
052.344167	-62.937778	1083	Ret	03 29 22.6	-62 56 16	355.11	-73.80	278.36	-45.94	   70	 4.72	F5IV-V
053.232500	 -9.458333	1084	Eri	03 32 55.8	-09 27 30	 48.17	-27.72	195.86	-48.04	   10	 3.73	K2V
054.122083	+48.192778	1087	Per	03 36 29.3	+48 11 34	 63.75	 27.97	149.17	 -6.09	  300	 4.23	B5Ve
053.446667	-21.633056	1088	Eri	03 33 47.2	-21 37 59	 44.20	-39.44	213.52	-52.78	  296	 4.28	B8V+B8V
054.217917	 +0.401667	1101	Tau	03 36 52.3	+00 24 06	 51.95	-18.44	185.12	-41.66	   45	 4.28	F9V
054.273333	-40.274722	1106	   	03 37 05.6	-40 16 29	 34.93	-57.09	244.85	-53.51	  232	 4.58	K1III
055.730833	+47.787500	1122	Per	03 42 55.4	+47 47 15	 64.80	 27.30	150.28	 -5.77	  543	 3.01	B5III
055.593750	+33.965000	1123	Per	03 42 22.5	+33 57 54	 61.13	 13.91	158.92	-16.70	 1211	 4.97	B0.5V
056.509583	+63.345000	1129	   	03 46 02.3	+63 20 42	 70.49	 42.16	141.10	  6.81	  162	 4.79	G0III+A3V
056.079583	+32.288333	1131	Per	03 44 19.1	+32 17 18	 61.14	 12.18	160.36	-17.74	  779	 3.83	B1III
055.562083	-31.938333	1134	For	03 42 14.9	-31 56 18	 41.97	-49.80	230.88	-52.77	  564	 5.00	B5IV
056.298333	+42.578611	1135	Per	03 45 11.6	+42 34 43	 63.82	 22.15	153.83	 -9.63	  510	 3.80	F5II
055.811667	 -9.763333	1136	Eri	03 43 14.8	-09 45 48	 50.86	-28.68	198.10	-46.00	   29	 3.54	K0+IV
056.218750	+24.113333	1142	Tau	03 44 52.5	+24 06 48	 59.41	  4.19	166.18	-23.85	  407	 3.70	B6IIIe
055.708333	-37.313611	1143	   	03 42 50.0	-37 18 49	 38.91	-54.84	239.76	-52.69	  181	 4.59	K2.5III
056.301667	+24.467222	1145	Tau	03 45 12.4	+24 28 02	 59.56	  4.52	165.98	-23.53	  407	 4.30	B6IV
057.589583	+71.332500	1148	Cam	03 50 21.5	+71 19 57	 74.65	 49.62	136.31	 13.27	  362	 4.66	A2IVn
056.456250	+24.367778	1149	Tau	03 45 49.5	+24 22 04	 59.68	  4.39	166.17	-23.51	  362	 3.87	B8III
057.380000	+65.526111	1155	   	03 49 31.2	+65 31 34	 71.87	 44.13	140.02	  8.75	  243	 4.48	M2IIab
056.581250	+23.948333	1156	Tau	03 46 19.5	+23 56 54	 59.70	  3.96	166.57	-23.75	  362	 4.18	B6IVe
056.535000	-12.101667	1162	Eri	03 46 08.4	-12 06 06	 50.96	-31.12	201.55	-46.47	  543	 4.42	M2III
056.870833	+24.105000	1165	Tau	03 47 29.0	+24 06 18	 59.99	  4.05	166.67	-23.45	  407	 2.87	B7IIIe
056.711667	-23.249722	1173	Eri	03 46 50.8	-23 14 59	 47.36	-41.89	217.34	-50.32	   59	 4.23	F3III
056.050000	-64.807222	1175	Ret	03 44 12.0	-64 48 26	351.39	-76.09	279.24	-43.54	  101	 3.85	K1-2III
057.290417	+24.053333	1178	Tau	03 49 09.7	+24 03 12	 60.36	  3.92	167.01	-23.23	  407	 3.62	B8III
057.149167	-37.620556	1190	   	03 48 35.8	-37 37 14	 40.56	-55.56	240.17	-51.53	  163	 4.86	B9V
057.363333	-36.200278	1195	   	03 49 27.2	-36 12 01	 41.76	-54.31	237.88	-51.40	  217	 4.17	G9II-III
058.532917	+31.883611	1203	Per	03 54 07.9	+31 53 01	 63.12	 11.33	162.29	-16.69	  932	 2.85	B1Ib
059.284167	+61.108889	1205	   	03 57 08.2	+61 06 32	 71.31	 39.65	143.53	  5.90	  332	 5.00	K3I-II
056.810417	-74.239167	1208	Hyi	03 47 14.5	-74 14 21	310.47	-76.76	289.13	-37.80	  217	 3.24	M2III
058.572500	 -2.954722	1212	Eri	03 54 17.4	-02 57 17	 55.63	-22.72	192.10	-40.10	  362	 4.79	G8III
058.427500	-24.612500	1213	Eri	03 53 42.6	-24 36 45	 48.87	-43.65	220.00	-49.14	  407	 4.65	B6V
059.463333	+40.010278	1220	Per	03 57 51.2	+40 00 37	 65.68	 19.11	157.35	-10.09	  543	 2.89	B0.5V+A2V
059.740833	+35.791111	1228	Per	03 58 57.8	+35 47 28	 64.97	 14.94	160.37	-13.11	 2624	 4.04	O7e
059.507083	-13.508611	1231	Eri	03 58 01.7	-13 30 31	 53.87	-33.20	205.16	-44.47	  232	 2.94	M0.5IIICa-ICr-I
060.170000	+12.490278	1239	Tau	04 00 40.8	+12 29 25	 60.63	 -7.96	178.37	-29.38	  407	 3.41	B3V+A4IV
059.980833	-24.016389	1240	Eri	03 59 55.4	-24 00 59	 50.97	-43.47	219.65	-47.62	  362	 4.66	B6V+B9.5V
059.686250	-61.400278	1247	Ret	03 58 44.7	-61 24 01	  7.06	-75.91	274.02	-43.78	  543	 4.56	M2IIIab
060.788750	 +5.989444	1251	Tau	04 03 09.3	+05 59 22	 59.92	-14.45	184.68	-33.06	  130	 3.91	A1V
061.173750	+22.081944	1256	Tau	04 04 41.7	+22 04 55	 63.46	  1.26	171.28	-22.15	  181	 4.37	K0III
061.645833	+50.351389	1261	Per	04 06 35.0	+50 21 05	 69.75	 28.89	151.63	 -1.32	  362	 4.29	A0IVn
060.224167	-62.159444	1264	Ret	04 00 53.8	-62 09 34	  4.97	-76.54	274.81	-43.21	  543	 4.51	M4III
060.325833	-61.078889	1266	Ret	04 01 18.2	-61 04 44	  8.86	-75.98	273.44	-43.64	  362	 4.97	K4III
062.165000	+47.712500	1273	Per	04 08 39.6	+47 42 45	 69.50	 26.24	153.65	 -3.04	  299	 4.03	B3Ve
062.966250	 -6.837778	1298	Eri	04 11 51.9	-06 50 16	 59.43	-27.45	199.32	-38.39	  130	 4.05	F2II-III
062.710417	-41.993611	1302	Hor	04 10 50.5	-41 59 37	 44.92	-61.23	246.50	-47.02	  181	 4.93	A9V
063.724167	+48.409444	1303	Per	04 14 53.8	+48 24 34	 70.79	 26.71	153.94	 -1.82	 1833	 4.16	G0Ib
063.722083	+40.483889	1306	Per	04 14 53.3	+40 29 02	 69.15	 18.93	159.45	 -7.54	 2361	 4.71	G5Ib+A2V
063.484583	 +9.263611	1311	Tau	04 13 56.3	+09 15 49	 63.25	-11.75	183.60	-28.94	  407	 4.84	G5III
063.598333	-10.256389	1318	Eri	04 14 23.6	-10 15 23	 59.33	-30.93	203.58	-39.45	  217	 4.86	K3III
063.883333	 +8.892222	1320	Tau	04 15 32.0	+08 53 32	 63.58	-12.18	184.21	-28.85	  465	 4.28	B3IV
064.560833	+50.295556	1324	   	04 18 14.6	+50 17 44	 71.81	 28.45	153.02	 -0.09	  326	 4.61	A2V
063.817917	 -7.652778	1325	Eri	04 15 16.3	-07 39 10	 60.18	-28.42	200.72	-38.00	   16	 4.43	K1V
063.500417	-42.294444	1326	Hor	04 14 00.1	-42 17 40	 45.82	-61.73	246.88	-46.41	  120	 3.86	K1III
064.315000	+20.578611	1329	Tau	04 17 15.6	+20 34 43	 66.06	 -0.75	174.61	-21.03	   95	 4.95	A3m
063.606250	-62.473889	1336	Ret	04 14 25.5	-62 28 26	  7.51	-78.04	274.32	-41.65	  171	 3.35	G8II-III
064.006667	-51.486667	1338	Dor	04 16 01.6	-51 29 12	 36.55	-70.14	259.84	-44.79	   66	 4.25	F4III
065.102500	+34.566667	1343	Per	04 20 24.6	+34 34 00	 69.17	 12.91	164.47	-10.95	  232	 4.93	G8III
064.947917	+15.627500	1346	Tau	04 19 47.5	+15 37 39	 65.81	 -5.73	179.08	-23.82	  155	 3.65	K0-IIIabCN1
064.473333	-33.798333	1347	Eri	04 17 53.6	-33 47 54	 52.50	-53.96	234.67	-45.47	  181	 3.56	B9V
065.088333	+27.350833	1348	Tau	04 20 21.2	+27 21 03	 67.91	  5.80	169.83	-15.94	  362	 4.95	K1III
065.387917	+46.498889	1350	Per	04 21 33.1	+46 29 56	 71.62	 24.62	156.08	 -2.40	  465	 4.86	B4IV
064.120417	-59.301944	1355	Ret	04 16 28.9	-59 18 07	 19.61	-76.32	270.20	-42.56	   60	 4.44	K2IVa
065.733333	+17.542500	1373	Tau	04 22 56.0	+17 32 33	 66.87	 -3.97	178.01	-22.01	  155	 3.76	K0IIICN0.5
066.023750	+17.443889	1380	Tau	04 24 05.7	+17 26 38	 67.13	 -4.11	178.29	-21.86	  148	 4.80	A7V
066.342083	+22.293889	1387	Tau	04 25 22.1	+22 17 38	 68.20	  0.63	174.56	-18.48	  155	 4.22	A7IV-V
066.372083	+17.928056	1389	Tau	04 25 29.3	+17 55 41	 67.53	 -3.69	178.12	-21.30	  148	 4.28	A2IV
066.576667	+22.813611	1392	Tau	04 26 18.4	+22 48 49	 68.50	  1.11	174.30	-17.98	  155	 4.28	A8Vn
066.008750	-34.016944	1393	Eri	04 24 02.1	-34 01 01	 54.49	-54.54	235.17	-44.23	  296	 3.96	K4III
066.586250	+15.618333	1394	Tau	04 26 20.7	+15 37 06	 67.37	 -6.00	180.18	-22.60	  163	 4.50	F0V
066.651667	+14.713611	1396	Tau	04 26 36.4	+14 42 49	 67.29	 -6.90	180.99	-23.12	  465	 4.69	G7IIIaFe-1
067.109583	+16.359722	1407	Tau	04 28 26.3	+16 21 35	 67.98	 -5.35	179.90	-21.75	  203	 4.97	K2IIIv
067.153750	+19.180278	1409	Tau	04 28 36.9	+19 10 49	 68.46	 -2.57	177.60	-19.92	  155	 3.54	G9.5IIICN0.5
067.143333	+15.962222	1411	Tau	04 28 34.4	+15 57 44	 67.95	 -5.74	180.26	-21.97	  163	 3.84	K0IIIbFe-0.5
067.165417	+15.870833	1412	Tau	04 28 39.7	+15 52 15	 67.96	 -5.84	180.35	-22.01	  155	 3.39	A7III
067.640000	+16.193889	1427	   	04 30 33.6	+16 11 38	 68.46	 -5.59	180.38	-21.45	  148	 4.78	A6IV
067.969167	 -0.044167	1437	Eri	04 31 52.6	-00 02 39	 66.19	-21.68	195.34	-30.63	  496	 4.89	K3II-III
068.461667	+14.844444	1444	Tau	04 33 50.8	+14 50 40	 69.05	 -7.04	182.05	-21.67	  155	 4.65	A8V
068.377500	-29.766667	1453	Eri	04 33 30.6	-29 46 00	 59.49	-50.94	229.85	-41.59	  125	 4.51	K0IIICN-1
069.172083	+41.264722	1454	Per	04 36 41.3	+41 15 53	 73.58	 19.01	161.76	 -4.03	  253	 4.26	K4III+A3V
068.980000	+16.509167	1457	Tau	04 35 55.2	+16 30 33	 69.79	 -5.47	180.97	-20.25	   65	 0.86	K5III
068.913333	+10.160833	1458	Tau	04 35 39.2	+10 09 39	 68.80	-11.74	186.40	-24.13	  155	 4.25	A5m
069.079583	 -3.352500	1463	Eri	04 36 19.1	-03 21 09	 66.81	-25.12	199.31	-31.38	  866	 3.92	B2III
068.887500	-30.562500	1464	Eri	04 35 33.0	-30 33 45	 59.88	-51.82	231.01	-41.31	  217	 3.82	G8IIIHdelta-1
068.499167	-55.045000	1465	Dor	04 33 59.8	-55 02 42	 37.83	-74.58	263.83	-41.42	  181	 3.27	A0IIISi
069.539167	+12.510833	1473	Tau	04 38 09.4	+12 30 39	 69.76	 -9.50	184.74	-22.24	  155	 4.27	A6V
069.818333	+15.918056	1479	Tau	04 39 16.4	+15 55 05	 70.51	 -6.17	181.99	-19.97	  163	 4.70	A5Vn
069.544583	-14.304167	1481	Eri	04 38 10.7	-14 18 15	 65.25	-36.00	211.32	-35.89	  112	 3.87	K2IIIb
070.110000	-19.671667	1496	Eri	04 40 26.4	-19 40 18	 64.73	-41.38	217.79	-37.36	  362	 4.30	M4III
070.560833	+22.956944	1497	Tau	04 42 14.6	+22 57 25	 72.15	  0.71	176.64	-15.07	  407	 4.29	B3V
070.140000	-41.863889	1502	Cae	04 40 33.6	-41 51 50	 56.15	-62.99	246.15	-41.49	   66	 4.45	F2V
071.375417	 -3.254722	1520	Eri	04 45 30.1	-03 15 17	 69.34	-25.37	200.53	-29.34	  543	 4.02	B5IV
072.477500	+37.488333	1533	   	04 49 54.6	+37 29 18	 75.69	 14.92	166.30	 -4.57	  543	 4.91	K3.5IIIBa0.2:
073.512500	+66.342778	1542	Cam	04 54 03.0	+66 20 34	 80.98	 43.42	144.07	 14.04	 2944	 4.29	O9.5Iae
072.459583	 +6.961389	1543	Ori	04 49 50.3	+06 57 41	 71.92	-15.38	191.45	-23.07	   26	 3.18	F6V
072.652917	 +8.900278	1544	Ori	04 50 36.7	+08 54 01	 72.37	-13.48	189.82	-21.83	  203	 4.35	A1Vn
073.157917	+36.703056	1551	Aur	04 52 37.9	+36 42 11	 76.14	 14.07	167.26	 -4.65	  250	 4.77	K2.5IIIbBa0.4
072.801250	 +5.605000	1552	Ori	04 51 12.3	+05 36 18	 72.10	-16.77	192.89	-23.52	  734	 3.68	B2III+B2IV
073.132917	+14.250556	1556	Ori	04 52 31.9	+14 15 02	 73.49	 -8.23	185.43	-18.39	  543	 4.74	S3.5/1-
073.223333	 -5.452778	1560	Eri	04 52 53.6	-05 27 10	 71.05	-27.79	203.75	-28.78	  232	 4.39	F4III+A6III
073.562500	 +2.440556	1567	Ori	04 54 15.0	+02 26 26	 72.49	-20.01	196.27	-24.56	  761	 3.73	B3III+B0V
074.321250	+53.752222	1568	Cam	04 57 17.1	+53 45 08	 79.27	 30.90	154.47	  6.68	  407	 4.47	A1V
073.723750	+10.150833	1570	Ori	04 54 53.7	+10 09 03	 73.59	-12.37	189.34	-20.25	  120	 4.67	A0V
074.248333	+33.166111	1577	Aur	04 56 59.6	+33 09 58	 76.64	 10.45	170.59	 -6.16	  543	 2.69	K3II
074.092500	+13.514444	1580	Ori	04 56 22.2	+13 30 52	 74.34	 -9.06	186.63	-18.05	  171	 4.06	K2III
074.813750	+37.890278	1592	Aur	04 59 15.3	+37 53 25	 77.64	 15.10	167.15	 -2.88	  163	 4.95	A1V
074.636667	 +1.714167	1601	Ori	04 58 32.8	+01 42 51	 73.54	-20.85	197.56	-24.02	  556	 4.47	K2II
075.854583	+60.442222	1603	Cam	05 03 25.1	+60 26 32	 81.27	 37.43	149.57	 11.38	 1304	 4.02	G0Ib
075.492083	+43.823333	1605	Aur	05 01 58.1	+43 49 24	 78.84	 20.94	162.79	  1.18	 3862	 2.99	F0Iae
074.982083	-12.537500	1611	Eri	04 59 55.7	-12 32 15	 72.00	-35.04	211.94	-30.34	  296	 4.78	F0IV
075.619167	+41.075833	1612	Aur	05 02 28.6	+41 04 33	 78.63	 18.20	165.02	 -0.43	  182	 3.75	K4II+B8V
075.359583	 -7.173889	1617	Eri	05 01 26.3	-07 10 26	 73.21	-29.76	206.59	-27.69	  534	 4.81	B3V
075.773750	+21.590000	1620	Tau	05 03 05.7	+21 35 24	 76.79	 -1.20	180.77	-12.06	  163	 4.64	A7V
075.356250	-20.051944	1621	   	05 01 25.5	-20 03 07	 71.20	-42.54	220.27	-32.85	  217	 4.92	B9.5Vn
076.669167	+51.597778	1637	Aur	05 06 40.6	+51 35 52	 80.61	 28.59	157.06	  6.51	   85	 5.00	F0V
076.142083	+15.403889	1638	Ori	05 04 34.1	+15 24 14	 76.54	 -7.39	186.18	-15.35	  407	 4.68	A0pSi
076.628333	+41.234444	1641	Aur	05 06 30.8	+41 14 04	 79.45	 18.28	165.35	  0.27	  232	 3.18	B3V
076.101250	-35.483333	1652	Cae	05 04 24.3	-35 29 00	 68.41	-57.89	238.60	-36.23	  191	 4.55	K3III
076.365000	-22.371111	1654	Lep	05 05 27.6	-22 22 16	 72.06	-44.96	223.25	-32.73	  232	 3.18	K5IIIv
076.862500	+18.645000	1656	Tau	05 07 27.0	+18 38 42	 77.53	 -4.23	183.83	-12.94	   51	 5.00	G4V
076.962083	 -5.086389	1666	Eri	05 07 50.9	-05 05 11	 75.28	-27.86	205.34	-25.31	   90	 2.79	A3III
076.377500	-57.472778	1674	Dor	05 05 30.6	-57 28 22	 48.68	-78.94	266.04	-36.72	   38	 4.72	F7V
077.424583	+15.597222	1676	Ori	05 09 41.9	+15 35 50	 77.79	 -7.31	186.74	-14.21	  326	 4.82	F2IV
077.286250	 -8.754167	1679	Eri	05 09 08.7	-08 45 15	 75.21	-31.54	209.14	-26.69	  862	 4.27	B2IVne
078.356667	+38.484444	1689	Aur	05 13 25.6	+38 29 04	 80.57	 15.43	168.35	 -0.30	  163	 4.88	A4m
078.074167	-11.869167	1696	Lep	05 12 17.8	-11 52 09	 75.76	-34.72	212.67	-27.32	  250	 4.44	B8V
078.322500	 +2.861111	1698	Ori	05 13 17.4	+02 51 40	 77.57	-20.08	198.52	-20.27	  362	 4.44	K3III
078.232500	-16.205556	1702	Lep	05 12 55.8	-16 12 20	 75.39	-39.05	217.25	-28.91	  191	 3.29	B9pHgMn
078.307500	-12.941667	1705	Lep	05 13 13.8	-12 56 30	 75.90	-35.81	213.88	-27.55	  192	 4.36	B9V
079.172083	+45.998056	1708	Aur	05 16 41.3	+45 59 53	 81.86	 22.86	162.58	  4.57	   42	 0.08	G5IIIe+G0III
078.634167	 -8.201667	1713	Ori	05 14 32.2	-08 12 06	 76.83	-31.12	209.24	-25.25	  949	 0.13	B8Iae:
079.544167	+33.371667	1726	Aur	05 18 10.6	+33 22 18	 81.14	 10.25	173.07	 -2.48	  250	 4.54	K3III
079.785000	+40.099167	1729	Aur	05 19 08.4	+40 05 57	 81.85	 16.95	167.67	  1.54	   41	 4.71	G2IV-V
079.401250	 -6.844444	1735	Ori	05 17 36.3	-06 50 40	 77.85	-29.84	208.28	-23.96	  331	 3.59	B5III
079.818750	+22.096389	1739	Tau	05 19 16.5	+22 05 47	 80.57	 -1.01	182.54	 -8.70	  217	 4.94	G8III
079.370833	-34.895278	1743	Col	05 17 29.0	-34 53 43	 73.54	-57.73	238.51	-33.49	  112	 4.83	K0IV
078.439167	-67.185556	1744	Dor	05 13 45.4	-67 11 08	346.87	-85.42	277.64	-34.26	  274	 4.83	K2.5IIIa
079.893333	-13.176944	1756	Lep	05 19 34.4	-13 10 37	 77.78	-36.19	214.83	-26.24	 1504	 4.29	B0.5IV
080.111667	-21.239722	1762	   	05 20 26.8	-21 14 23	 77.09	-44.24	223.35	-29.07	  465	 4.71	A0Vv
080.440417	 -0.382500	1765	Ori	05 21 45.7	-00 22 57	 79.57	-23.48	202.63	-20.03	  866	 4.74	B2IV-V
080.707917	 +3.544444	1770	Ori	05 22 49.9	+03 32 40	 80.15	-19.58	199.16	-17.86	 1397	 5.00	B1V
081.162917	+37.385556	1773	Aur	05 24 39.1	+37 23 08	 82.77	 14.17	170.52	  0.88	  543	 4.99	K4III
081.105833	+17.383333	1780	Tau	05 24 25.4	+17 23 00	 81.47	 -5.79	187.20	-10.29	   47	 4.99	F8V
080.986667	 -7.808056	1784	Ori	05 23 56.8	-07 48 29	 79.58	-30.92	209.98	-22.98	  181	 4.12	G8IIICN-0.5
081.119167	 -2.396944	1788	Ori	05 24 28.6	-02 23 49	 80.16	-25.53	204.87	-20.39	  152	 3.35	B1V+B2e
081.186667	 +1.846389	1789	Ori	05 24 44.8	+01 50 47	 80.54	-21.30	200.96	-18.29	 1470	 4.96	B1Vpe
081.282500	 +6.349722	1790	Ori	05 25 07.8	+06 20 59	 80.95	-16.82	196.93	-15.95	  250	 1.64	B2III
081.572917	+28.607500	1791	Tau	05 26 17.5	+28 36 27	 82.57	  5.39	177.99	 -3.74	  135	 1.65	B7III
081.908333	+21.936944	1810	Tau	05 27 38.0	+21 56 13	 82.50	 -1.29	183.75	 -7.17	  827	 4.89	B2.5IV
081.709167	 +3.095556	1811	Ori	05 26 50.2	+03 05 44	 81.18	-20.09	200.09	-17.22	 1026	 4.59	B2IV
082.061250	-20.759444	1829	Lep	05 28 14.7	-20 45 34	 79.67	-43.91	223.56	-27.20	  163	 2.84	G5II
082.432917	 -1.092222	1834	Ori	05 29 43.9	-01 05 32	 81.69	-24.31	204.31	-18.62	  465	 4.71	K5III
082.695833	 +5.948056	1839	Ori	05 30 47.0	+05 56 53	 82.39	-17.30	198.02	-14.94	  296	 4.20	B5V
083.181667	+32.191944	1843	Aur	05 32 43.6	+32 11 31	 84.16	  8.89	175.77	 -0.61	 2985	 4.79	B5Iab
083.052917	+18.594167	1845	Tau	05 32 12.7	+18 35 39	 83.40	 -4.69	187.18	 -8.07	 2124	 4.33	M2Iab-Ib
083.001250	 -0.299167	1852	Ori	05 32 00.3	-00 17 57	 82.36	-23.55	203.86	-17.74	 1065	 2.24	B0III+O9V
082.982500	 -7.301667	1855	Ori	05 31 55.8	-07 18 06	 81.91	-30.54	210.44	-20.98	 1560	 4.63	B0V
082.802917	-35.470556	1862	Col	05 31 12.7	-35 28 14	 78.70	-58.63	239.89	-30.88	  296	 3.87	K1IIIa
